CRN,Ders Kodu,Branş,Seviye,Ders Adı,Öğretim Yöntemi,Öğretim Üyesi,Bina,Gün,Saat,Derslik,Kontenjan,Yazılan,Rezervasyon,Alabilen Programlar,Önşart,Sınıf/Kredi Önşartı
10080,YTO 101,YTO,LS,Yab.için Türkçe(Başlangıç Düz),,Özge Seçkin Polat,DIB,Salı,08:30/12:29,,40,1,,Yabancı Uyruklu Tüm Lisans ve Lisansüstü Öğrenciler,,
10081,YTO 102,YTO,LS,Yab.için TürkçeA2(Başlang.Düz),,Özge Seçkin Polat,DIB,Çarşamba,08:30/12:29,,40,3,,Yabancı Uyruklu Tüm Lisans ve Lisansüstü Öğrenciler,,
10082,YTO 201,YTO,LS,Yab. için Türkçe(Orta Düz.),,Özge Seçkin Polat,DIB,Perşembe,08:30/12:29,,40,0,,Yabancı Uyruklu Tüm Lisans ve Lisansüstü Öğrenciler,,
10326,GSB 323,GSB,LS,Fotoğraf ve Mimarlık,,Ahmet Keskin,MMB,Perşembe,09:30/12:29,,15,15,,"ICM, MIM, PEM, SBP",,
10327,GSB 323E,GSB,LS,Photography and Architecture,,Hulki Korkut İlhan,MMB,Cuma,13:30/16:29,,15,15,,"EUTE, ICM, MIM, MIME, PEME, SBP, SBPE",,
10328,GSB 333,GSB,LS,Doğaçlama Oyun ve Oynanış,,Rabia Zeynep İşler,MMB,Çarşamba,13:30/16:29,,20,20,,"ICM, MIM, PEM, SBP",,
10329,GSB 333,GSB,LS,Doğaçlama Oyun ve Oynanış,,Ali Ersan Karadeniz,MMB,Cuma,13:30/16:29,,20,13,,"ICM, MIM, PEM, SBP",,
10330,GSB 343,GSB,LS,Görsel Analiz,,Ferhan Gözgü Çelik,MMB,Salı,13:30/16:29,,12,4,,"ICM, MIM, PEM",,
10331,GSB 363,GSB,LS,Mimarlıkta Seramik Uygulamalar,,Aynur Karakaş Karaağaç,MMB,Çarşamba,09:30/12:29,,12,12,,"ICM, MIM, PEM, SBP",,
10513,MTH 101,MTH,LS,Calculus I,,Kamil Oruçoğlu,FEB | FEB,Perşembe | Cuma,13:30/15:29 | 14:30/17:29,,20,1,,SBL,,
10519,MTH 103,MTH,LS,Calculus I,,Füsun Zengin,FEB | FEB,Çarşamba | Cuma,12:30/14:29 | 08:30/11:29,,25,3,,"MBI, MCB, SCE, SEN, SIN",,
10521,MTH 103,MTH,LS,Calculus I,,Sevgi Harman,FEB | FEB,Çarşamba | Cuma,13:30/15:29 | 08:30/11:29,,20,8,,"MBI, MCB, SCE, SEN, SIN",,
10531,MTH 107,MTH,LS,Calculus I,,Şeyda Canan Tekin,FEB | FEB,Çarşamba | Cuma,12:30/15:29 | 08:30/11:29,,30,8,,"SCE, SIN",,
10534,MTH 111,MTH,LS,Linear Algebra,,Bahri Güldoğan,FEB,Perşembe,13:30/16:29,,25,4,,"SBL, SEK, SEN",,
10537,MTH 111,MTH,LS,Linear Algebra,,Şenay Pasinlioğlu,FEB,Perşembe,13:30/16:29,,25,9,,"SBL, SEK, SEN",,
11086,THO 471,THO,LS,Türk Halk Oyunları I,,Cenap Güngör,TMB,Cuma,10:30/12:29,,15,9,,SES,,
11087,THO 113,THO,LS,Oyun Tekniği I,,Salim Sınar,TMB | TMB,Salı | Çarşamba,10:30/12:29 | 15:30/17:29,,25,15,,"THMA, THMH, THMK, THMN, THMR, THMT, THMZ, THO",,
11088,THO 109,THO,LS,Oyun Ritim Bilgisi I,,Eyüp Uzunkaya,TMB,Çarşamba,13:30/15:29,,20,14,,"THMT, THO",,
11089,THO 111,THO,LS,Hareket Anatomisi I,,Nihal Ötken,TMB,Salı,08:30/10:29,,25,14,,"THMT, THO",,
11090,THO 115,THO,LS,Bale I,,Funda Bozkurt,TMB | TMB,Pazartesi | Perşembe,13:30/15:29 | 08:30/10:29,,25,15,,"THMB, THO",,
11091,THO 117,THO,LS,Kondisyon Ve Esneme I (Krdsz),,Funda Bozkurt,TMB | TMB,Pazartesi | Cuma,08:30/10:29 | 10:30/12:29,,25,15,,"THMB, THMD, THO",,
11092,THO 201,THO,LS,Oyun Ritim Bilgisi III,,Salim Sınar,TMB,Pazartesi,15:30/17:29,,20,9,,THO,,
11093,THO 203,THO,LS,Türk Halk Oyunları I,,Salim Sınar,TMB | TMB,Salı | Çarşamba,13:30/15:29 | 13:30/15:29,,20,3,,THO,,
11094,THO 205,THO,LS,Oyunda Yöresel Tavırlar I,,Ahmet Turan Demirbağ,TMB | TMB,Çarşamba | Perşembe,15:30/17:29 | 10:30/12:29,,20,6,,THO,,
11095,THO 207,THO,LS,Oyun Repertuvarı I,,Cumhur Sevinç,TMB | TMB,Salı | Perşembe,08:30/10:29 | 08:30/10:29,,20,17,,THO,,
11096,THO 317,THO,LS,Sahne Projesi I (Kredisiz),,Cumhur Sevinç,TMB,Perşembe,13:30/17:29,,5,5,,THO,,
11221,THO 317,THO,LS,Sahne Projesi I (Kredisiz),,Funda Bozkurt,TMB,Perşembe,13:30/17:29,,5,4,,THO,,
11224,THO 417,THO,LS,Sahne Projesi III (Kredisiz),,Bülent Kurtişoğlu,TMB,Perşembe,13:30/17:29,,5,0,,THO,,
