CRN,Ders Kodu,Branş,Seviye,Ders Adı,Öğretim Yöntemi,Öğretim Üyesi,Bina,Gün,Saat,Derslik,Kontenjan,Yazılan,Rezervasyon,Alabilen Programlar,Önşart,Sınıf/Kredi Önşartı
20001,HUK 201,HUK,LS,İş Hukuku,,Gizem Sarıbay Öztürk,MED,Salı,08:30/11:29,A11,200,186,,"AIN, ARC, BIO, BIOE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, EEE, EFN, EHB, EHBE, EHS, ELE, ELK, ELKE, END, ENDE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, IML, IMLE, IND, INS, INSE, JDF, JEF, JEFE, KIM, KIME, KOM, KOME, MAD, MADE, MAK, MAKE, MMD, TEK, TEKE, UCK, UCKE, UZB, UZBE",,
20002,ALM 101,ALM,LS,Almanca I,,İnanç Bakkalbaşı,,Pazartesi,08:30/12:29,,26,28,,Tüm Lisans ve Lisansüstü Programlar,,
20003,ALM 101,ALM,LS,Almanca I,,--,,Salı,08:30/12:29,,0,0,,Tüm Lisans ve Lisansüstü Programlar,,
20004,ALM 102,ALM,LS,Almanca II,,İnanç Bakkalbaşı,,Perşembe,08:30/12:29,,26,23,,Tüm Lisans ve Lisansüstü Programlar,,
20005,ALM 102,ALM,LS,Almanca II,,--,,Cuma,08:30/12:29,,0,0,,Tüm Lisans ve Lisansüstü Programlar,,
20006,FRA 101,FRA,LS,Fransızca I,,Hilal Küçük,,Pazartesi,13:00/16:59,,26,26,,Tüm Lisans ve Lisansüstü Programlar,,
20007,FRA 101,FRA,LS,Fransızca I,,Hilal Küçük,,Salı,08:30/12:29,,26,26,,Tüm Lisans ve Lisansüstü Programlar,,
20008,FRA 101,FRA,LS,Fransızca I,,Ebru Yücetin Er,,Çarşamba,08:30/12:29,,26,24,,Tüm Lisans ve Lisansüstü Programlar,,
20009,FRA 101,FRA,LS,Fransızca I,,Ebru Yücetin Er,,Cuma,08:30/12:29,,26,26,,Tüm Lisans ve Lisansüstü Programlar,,
20010,FRA 101,FRA,LS,Fransızca I,,Ebru Yücetin Er,,Perşembe,13:00/16:59,,26,26,,Tüm Lisans ve Lisansüstü Programlar,,
20011,FRA 102,FRA,LS,Fransızca II,,Hilal Küçük,,Cuma,08:30/12:29,,25,16,,Tüm Lisans ve Lisansüstü Programlar,,
20012,FRA 102,FRA,LS,Fransızca II,,Yelda Tavukçuoğlu,,Çarşamba,08:30/12:29,,25,24,,Tüm Lisans ve Lisansüstü Programlar,,
20013,FRA 102,FRA,LS,Fransızca II,,Yelda Tavukçuoğlu,,Salı,08:30/12:29,,25,24,,Tüm Lisans ve Lisansüstü Programlar,,
20014,FRA 201,FRA,LS,Fransızca III,,Hilal Küçük,,Perşembe,08:30/12:29,,25,24,,Tüm Lisans ve Lisansüstü Programlar,,
20015,FRA 202,FRA,LS,Fransızca IV,,Ebru Yücetin Er,,Salı,08:30/12:29,,25,20,,Tüm Lisans ve Lisansüstü Programlar,,
20016,FRA 302,FRA,LS,Fransızca VI,,Yelda Tavukçuoğlu,,Cuma,08:30/12:29,,20,15,,Tüm Lisans ve Lisansüstü Programlar,,
20017,CIN 101,CIN,LS,Çince I,,Shıh-Yın Chen,,Salı,08:30/12:29,,26,16,,Tüm Lisans ve Lisansüstü Programlar,,
20018,CIN 101,CIN,LS,Çince I,,Shıh-Yın Chen,,Çarşamba,08:30/12:29,,26,19,,Tüm Lisans ve Lisansüstü Programlar,,
20019,HUK 201,HUK,LS,İş Hukuku,,Gizem Sarıbay Öztürk,MED,Perşembe,08:30/11:29,A11,200,198,,"AIN, ARC, BIO, BIOE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, EEE, EFN, EHB, EHBE, EHS, ELE, ELK, ELKE, END, ENDE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, IML, IMLE, IND, INS, INSE, JDF, JEF, JEFE, KIM, KIME, KOM, KOME, MAD, MADE, MAK, MAKE, MMD, TEK, TEKE, UCK, UCKE, UZB, UZBE",,
20020,HUK 201,HUK,LS,İş Hukuku,,Gizem Sarıbay Öztürk,MED,Perşembe,13:30/16:29,A11,200,192,,"AIN, ARC, BIO, BIOE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, EEE, EFN, EHB, EHBE, EHS, ELE, ELK, ELKE, END, ENDE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, IML, IMLE, IND, INS, INSE, JDF, JEF, JEFE, KIM, KIME, KOM, KOME, MAD, MADE, MAK, MAKE, MMD, TEK, TEKE, UCK, UCKE, UZB, UZBE",,
20021,HUK 211,HUK,LS,Sosyal Güvenlik Hukuku,,Mahmut Kabakcı,MED,Cuma,14:30/17:29,A11,200,153,,"AIN, ARC, BIO, BIOE, BLG, BLGE, BST, CAB, CEB, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EEE, EFN, EHB, EHBE, EHS, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KMP, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MMD, MTM, MTO, MTOE, MTR, MUT, MUZ, MUZE, MZT, PEM, PEME, PET, PETE, SBP, SBPE, SES, TEB, TEK, TEKE, TEL, THO, UCK, UCKE, UZB, UZBE, YZVE",,
20022,HUK 213,HUK,LS,İş Sağlığı ve Güvenliği Hukuku,,"Ulaş Baysal, Mahmut Kabakcı",MED,Çarşamba,08:30/11:29,A11,200,160,,"AIN, ARC, BIO, BIOE, BLG, BLGE, BST, CAB, CEB, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, ECNE, EEE, EFN, EHB, EHBE, EHS, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KMP, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MMD, MSS, MTM, MTO, MTOE, MTR, MUT, MUZ, MUZE, MZT, PEM, PEME, PET, PETE, SBP, SBPE, SES, TEB, TEK, TEKE, TEL, THO, UCK, UCKE, UZB, UZBE, YZVE",,
20023,HUK 213,HUK,LS,İş Sağlığı ve Güvenliği Hukuku,,"Mahmut Kabakcı, Ulaş Baysal",MED,Cuma,08:30/11:29,A11,200,179,,"AIN, ARC, BIO, BIOE, BLG, BLGE, BST, CAB, CEB, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, ECNE, EEE, EFN, EHB, EHBE, EHS, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KMP, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MMD, MSS, MTM, MTO, MTOE, MTR, MUT, MUZ, MUZE, MZT, PEM, PEME, PET, PETE, SBP, SBPE, SES, TEB, TEK, TEKE, TEL, THO, UCK, UCKE, UZB, UZBE, YZVE",,
20024,HUK 214,HUK,LS,Teknolojik Yeniliklerin Korun.,,Özgür Öztürk,MED,Pazartesi,08:30/11:29,A11,200,64,,"ARC, BIO, BIOE, BLG, BLGE, BST, CAB, CEB, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, ECNE, EEE, EFN, EHB, EHBE, EHS, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KMP, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MMD, MSS, MTM, MTO, MTOE, MTR, MUT, MUZ, MUZE, MZT, PEM, PEME, PET, PETE, SBP, SBPE, SES, TEB, TEK, TEKE, TEL, THO, UCK, UCKE, UZB, UZBE, YZVE",,
20025,CIN 101,CIN,LS,Çince I,,Shıh-Yın Chen,,Perşembe,08:30/12:29,,26,25,,Tüm Lisans ve Lisansüstü Programlar,,
